11:39:45.007 -> inactive,105,1089
11:39:49.381 -> GO trials,30;
11:39:51.455 -> active,200,rewards,18,1096
11:40:01.544 -> pre-trials,71;
11:40:05.688 -> active,201,premature,41,1110
11:40:08.216 -> inactive,106,1113
11:40:09.229 -> inactive,107,1114
11:40:12.177 -> active,202,rewards,18,1117
11:40:13.834 -> inactive,108,1118
11:40:15.726 -> pre-trials,72;
11:40:21.716 -> GO trials,31;
11:40:26.719 -> omissions,13;
11:40:29.851 -> active,203,rewards,18,1134
11:40:32.106 -> active,204,rewards,18,1136
11:40:34.553 -> inactive,109,1139
11:40:35.380 -> inactive,110,1140
11:40:36.764 -> pre-trials,73;
11:40:37.362 -> active,205,premature,42,1142
11:40:37.407 -> active,206,rewards,18,1142
11:40:39.390 -> inactive,111,1144
11:40:39.530 -> inactive,112,1144
11:40:42.701 -> active,207,rewards,18,1147
11:40:44.495 -> inactive,113,1149
11:40:46.476 -> inactive,114,1151
11:40:47.399 -> pre-trials,74;
11:40:48.963 -> active,208,premature,43,1153
11:40:50.848 -> inactive,115,1155
11:40:52.689 -> inactive,116,1157
11:40:55.685 -> active,209,rewards,18,1160
11:40:56.376 -> active,210,rewards,18,1161
11:40:58.959 -> pre-trials,75;
11:40:59.417 -> active,211,premature,44,1164
11:41:01.533 -> inactive,117,1166
11:41:02.961 -> inactive,118,1167
11:41:03.328 -> inactive,119,1168
11:41:09.448 -> pre-trials,76;
11:41:13.033 -> active,212,premature,45,1177
11:41:13.079 -> active,213,rewards,18,1177
11:41:15.012 -> inactive,120,1179
11:41:18.786 -> active,214,rewards,18,1183
11:41:23.022 -> active,215,rewards,18,1187
11:41:23.069 -> pre-trials,77;
11:41:25.277 -> inactive,121,1190
11:41:25.740 -> inactive,122,1190
11:41:26.061 -> GO trials,32;
11:41:29.282 -> active,216,rewards,19,1193
11:41:39.416 -> pre-trials,78;
11:41:48.349 -> active,217,premature,46,1213
11:41:48.441 -> active,218,rewards,19,1213
11:41:58.377 -> pre-trials,79;
11:42:00.309 -> active,219,premature,47,1224
11:42:00.401 -> active,220,rewards,19,1225
11:42:10.332 -> pre-trials,80;
11:42:16.356 -> GO trials,33;
11:42:21.371 -> omissions,14;
11:42:31.390 -> pre-trials,81;
11:42:31.483 -> active,221,premature,48,1256
11:42:32.357 -> active,222,rewards,19,1256
11:42:34.015 -> active,223,rewards,19,1258
11:42:34.155 -> active,224,rewards,19,1258
11:42:36.358 -> active,225,rewards,19,1260
11:42:41.506 -> pre-trials,82;
11:42:47.521 -> GO trials,34;
11:42:49.133 -> inactive,123,1273
11:42:49.179 -> inactive,124,1273
11:42:49.270 -> inactive,125,1273
11:42:49.314 -> inactive,126,1273
11:42:52.347 -> active,226,rewards,20,1276
11:43:02.456 -> pre-trials,83;
11:43:08.487 -> GO trials,35;
11:43:12.536 -> active,227,rewards,21,1297
11:43:22.644 -> pre-trials,84;
11:43:28.659 -> GO trials,36;
11:43:30.130 -> active,228,rewards,22,1314
11:43:40.225 -> pre-trials,85;
11:43:43.254 -> GO trials,37;
11:43:48.252 -> omissions,15;
11:43:58.308 -> pre-trials,86;
11:43:58.767 -> active,229,premature,49,1343
11:44:02.580 -> active,230,rewards,22,1346
11:44:03.821 -> active,231,rewards,22,1348
11:44:03.867 -> active,232,rewards,22,1348
11:44:04.142 -> active,233,rewards,22,1348
11:44:06.814 -> active,234,rewards,22,1351
11:44:08.467 -> active,235,rewards,22,1352
11:44:08.787 -> pre-trials,87;
11:44:08.970 -> active,236,premature,50,1353
11:44:11.777 -> active,237,rewards,22,1356
11:44:14.211 -> active,238,rewards,22,1358
11:44:15.544 -> active,239,rewards,22,1359
11:44:18.990 -> pre-trials,88;
11:44:20.461 -> inactive,127,1364
11:44:23.165 -> active,240,premature,51,1367
11:44:25.003 -> inactive,128,1369
11:44:33.224 -> pre-trials,89;
11:44:36.202 -> GO trials,38;
11:44:37.029 -> inactive,129,1381
11:44:37.396 -> inactive,130,1381
11:44:41.210 -> omissions,16;
11:44:43.365 -> active,241,rewards,22,1387
11:44:43.458 -> active,242,rewards,22,1387
11:44:44.102 -> active,243,rewards,22,1388
11:44:44.288 -> active,244,rewards,22,1388
11:44:47.089 -> inactive,131,1391
11:44:48.930 -> inactive,132,1393
11:44:49.392 -> inactive,133,1393
11:44:49.436 -> inactive,134,1393
11:44:49.575 -> inactive,135,1393
11:44:51.271 -> pre-trials,90;
11:44:52.465 -> active,245,premature,52,1396
11:44:56.467 -> active,246,rewards,22,1400
11:44:57.800 -> inactive,136,1402
11:44:58.168 -> inactive,137,1402
11:44:58.353 -> inactive,138,1402
11:45:00.559 -> active,247,rewards,22,1404
