107,0
2252,112718,0
2253,112768,0
2254,112819,0
2255,112869,0
2256,112920,0
2257,112970,0
2258,113019,0
2259,113069,0
2260,113118,0
2261,113168,0
2262,113219,0
2263,113269,0
2264,113319,0
2265,113369,0
2266,113419,0
2267,113469,0
2268,113519,0
2269,113569,0
2270,113619,0
2271,113670,0
2272,113721,0
2273,113769,0
2274,113820,0
2275,113869,0
2276,113920,0
2277,113970,0
2278,114020,0
2279,114070,0
2280,114120,0
2281,114169,0
2282,114220,0
2283,114270,0
2284,114319,0
2285,114369,0
2286,114420,0
2287,114471,0
2288,114519,0
2289,114570,0
2290,114620,0
2291,114670,0
2292,114720,0
2293,114770,0
2294,114820,0
2295,114870,0
2296,114921,0
2297,114970,0
2298,115020,0
2299,115071,0
2300,115120,0
2301,115170,0
2302,115220,0
2303,115269,0
2304,115320,0
2305,115370,0
2306,115421,0
2307,115471,0
2308,115521,0
2309,115571,0
2310,115621,0
2311,115670,0
2312,115720,0
2313,115770,0
2314,115821,0
2315,115871,0
2316,115923,0
2317,115971,0
2318,116020,0
2319,116070,0
2320,116121,0
2321,116171,0
2322,116221,0
2323,116271,0
2324,116322,0
2325,116371,0
2326,116421,0
2327,116471,0
2328,116522,0
2329,116571,0
2330,116621,0
2331,116671,0
2332,116722,0
2333,116771,0
2334,116821,0
2335,116871,0
2336,116922,0
2337,116972,0
2338,117022,0
2339,117072,0
2340,117121,0
2341,117171,0
2342,117222,0
2343,117272,0
2344,117323,0
2345,117372,0
2346,117422,0
2347,117472,0
2348,117522,0
2349,117572,0
2350,117622,0
2351,117673,0
2352,117723,0
2353,117772,0
2354,117823,0
2355,117872,0
2356,117923,0
2357,117973,0
2358,118023,0
2359,118073,0
2360,118123,0
2361,118174,0
2362,118222,0
2363,118272,0
2364,118323,0
2365,118373,0
2366,118423,0
2367,118473,0
2368,118523,0
2369,118573,0
2370,118623,0
2371,118672,0
2372,118722,0
2373,118773,0
2374,118824,0
2375,118873,0
2376,118924,0
2377,118972,0
2378,119023,0
2379,119074,0
2380,119123,0
2381,119173,0
2382,119223,0
2383,119274,0
2384,119324,0
2385,119373,0
2386,119424,0
2387,119474,0
2388,119524,0
2389,119574,0
2390,119624,0
2391,119674,0
2392,119723,0
2393,119773,0
2394,119823,0
2395,119874,0
2396,119924,0
2397,119975,0
2398,120024,0
2399,120074,0
2400,120123,0
2401,120173,0
2402,120224,0
2403,120274,0
2404,120324,0
2405,120375,0
2406,120425,0
2407,120474,0
2408,120524,0
2409,120574,0
2410,120624,0
2411,120674,0
2412,120725,0
2413,120775,0
2414,120825,0
2415,120874,0
2416,120925,0
2417,120974,0
2418,121024,0
2419,121076,0
2420,121125,0
2421,121175,0
2422,121224,0
2423,121274,0
2424,121324,0
2425,121375,0
2426,121425,0
2427,121475,0
2428,121525,0
2429,121575,0
2430,121625,0
2431,121675,0
2432,121725,0
2433,121775,0
2434,121826,0
2435,121876,0
2436,121927,0
2437,121975,0
2438,122025,0
2439,122075,0
2440,122126,0
2441,122175,0
2442,122225,0
2443,122276,0
2444,122326,0
2445,122375,0
2446,122425,0
2447,122476,0
2448,122525,0
2449,122575,0
2450,122626,0
2451,122676,0
2452,122726,0
2453,122776,0
2454,122826,0
2455,122876,0
2456,122926,0
2457,122977,0
2458,123026,0
2459,123076,0
2460,123130,0
2461,123176,0
2462,123226,0
2463,123277,0
2464,123326,0
2465,123376,0
2466,123427,0
2467,123476,0
2468,123527,0
2469,123576,0
2470,123626,0
2471,123676,0
2472,123726,0
2473,123777,0
2474,123826,0
2475,123876,0
2476,123927,0
2477,123977,0
2478,124027,0
2479,124076,0
2480,124126,0
2481,124177,0
2482,124226,0
2483,124277,0
2484,124326,0
2485,124377,0
2486,124427,0
2487,124477,0
2488,124528,0
2489,124577,0
2490,124626,0
2491,124676,0
2492,124727,0
2493,124778,0
2494,124827,0
2495,124878,0
2496,124927,0
2497,124976,0
2498,125027,0
2499,125077,0
2500,125127,0
2501,125177,0
2502,125227,0
2503,125279,0
2504,125327,0
2505,125377,0
2506,125428,0
2507,125477,0
2508,125528,0
2509,125578,0
2510,125628,0
2511,125677,0
2512,125727,0
2513,125777,0
2514,125827,0
2515,125879,0
2516,125928,0
2517,125978,0
2518,126029,0
2519,126077,0
2520,126128,0
2521,126177,0
2522,126228,0
2523,126278,0
2524,126328,0
2525,126379,0
2526,126429,0
2527,126478,0
2528,126528,0
2529,126578,0
2530,126628,0
2531,126678,0
2532,126728,0
2533,126779,0
2534,126829,0
2535,126879,0
2536,126928,0
2537,126978,0
2538,127029,0
2539,127079,0
2540,127130,0
2541,127179,0
2542,127229,0
2543,127279,0
2544,127329,0
2545,127379,0
2546,127429,0
2547,127479,0
2548,127529,0
2549,127578,0
2550,127628,0
2551,127678,0
2552,127729,0
2553,127779,0
2554,127829,0
2555,127880,0
2556,127929,0
2557,127978,0
2558,128029,0
2559,128078,0
2560,128129,0
2561,128179,0
2562,128230,0
2563,128280,0
2564,128329,0
2565,128379,0
2566,128430,0
2567,128479,0
2568,128529,0
2569,128579,0
2570,128631,0
2571,128680,0
2572,128729,0
2573,128780,0
2574,128831,0
2575,128881,0
2576,128929,0
2577,128981,0
2578,129031,0
2579,129079,0
2580,129129,0
2581,129179,0
2582,129229,0
2583,129280,0
2584,129330,0
2585,129381,0
2586,129430,0
2587,129480,0
2588,129531,0
2589,129581,0
2590,129630,0
2591,129681,0
2592,129730,0
2593,129780,0
2594,129830,0
2595,129880,0
2596,129930,0
2597,129981,0
2598,130031,0
2599,130081,0
2600,130130,0
2601,130181,0
2602,130230,0
2603,130280,0
2604,130331,0
2605,130381,0
2606,130431,0
2607,130480,0
2608,130531,0
2609,130580,0
2610,130631,0
2611,130681,0
